SONA_ID,Condition,WholeHand,BesidesHand,IndexSymmetrical,MiddleSymmetric,Roundness,LeftmostDistance,Coder,index_curve,pinkie_curl
51352,20034,no,no,no,no,no,NA,clarizza,6,7
54295,20058,no,no,no,no,no,NA,clarizza,6,4
45328,30066,no,no,no,no,no,NA,clarizza,5,2
53557,70058,no,no,no,no,yes,NA,clarizza,1,4
502060,50066,no,no,no,yes,yes,28,clarizza,3,2
44830,30034,no,no,no,no,no,NA,clarizza,5,7
54319,40050,no,no,yes,no,no,43,clarizza,4,5
52384,40042,no,no,yes,no,yes,37,clarizza,4,6
51904,70050,no,no,yes,no,no,42,clarizza,1,5
52819,20066,no,no,no,no,no,NA,clarizza,6,2
